Epoch 73 | KGC loss: 0.452406, DiffHEG loss 47.885086:  18%|█▊        | 74/400 [10:52<48:00,  8.84s/it]
Epoch 74 | KGC loss: 0.464552, DiffHEG loss 47.897443:  18%|█▊        | 74/400 [11:01<48:00,  8.84s/it]
Epoch 74 | KGC loss: 0.464552, DiffHEG loss 47.897443:  19%|█▉        | 75/400 [11:01<47:52,  8.84s/it]
Epoch 75 | KGC loss: 0.453411, DiffHEG loss 47.979934:  19%|█▉        | 75/400 [11:10<47:52,  8.84s/it]
Epoch 75 | KGC loss: 0.453411, DiffHEG loss 47.979934:  19%|█▉        | 76/400 [11:10<47:44,  8.84s/it]
Epoch 76 | KGC loss: 0.450222, DiffHEG loss 47.961111:  19%|█▉        | 76/400 [11:19<47:44,  8.84s/it]
Epoch 76 | KGC loss: 0.450222, DiffHEG loss 47.961111:  19%|█▉        | 77/400 [11:19<47:33,  8.83s/it]
Epoch 77 | KGC loss: 0.451773, DiffHEG loss 47.918366:  19%|█▉        | 77/400 [11:28<47:33,  8.83s/it]
Epoch 77 | KGC loss: 0.451773, DiffHEG loss 47.918366:  20%|█▉        | 78/400 [11:28<47:23,  8.83s/it]
Epoch 78 | KGC loss: 0.443373, DiffHEG loss 47.910412:  20%|█▉        | 78/400 [11:37<47:23,  8.83s/it]
Epoch 78 | KGC loss: 0.443373, DiffHEG loss 47.910412:  20%|█▉        | 79/400 [11:37<47:13,  8.83s/it]
Epoch 79 | KGC loss: 0.456274, DiffHEG loss 47.909003:  20%|█▉        | 79/400 [11:45<47:13,  8.83s/it]
Epoch 79 | KGC loss: 0.456274, DiffHEG loss 47.909003:  20%|██        | 80/400 [11:45<47:03,  8.82s/it]
Epoch 80 | KGC loss: 0.444652, DiffHEG loss 47.909358:  20%|██        | 80/400 [11:54<47:03,  8.82s/it]
Epoch 80 | KGC loss: 0.444652, DiffHEG loss 47.909358:  20%|██        | 81/400 [11:54<46:53,  8.82s/it]
Epoch 81 | KGC loss: 0.437093, DiffHEG loss 47.901892:  20%|██        | 81/400 [12:03<46:53,  8.82s/it]
Epoch 81 | KGC loss: 0.437093, DiffHEG loss 47.901892:  20%|██        | 82/400 [12:03<46:45,  8.82s/it]
Epoch 82 | KGC loss: 0.441825, DiffHEG loss 47.903696:  20%|██        | 82/400 [12:12<46:45,  8.82s/it]
Epoch 82 | KGC loss: 0.441825, DiffHEG loss 47.903696:  21%|██        | 83/400 [12:12<46:36,  8.82s/it]
Epoch 83 | KGC loss: 0.433753, DiffHEG loss 47.901849:  21%|██        | 83/400 [12:21<46:36,  8.82s/it]
Epoch 83 | KGC loss: 0.433753, DiffHEG loss 47.901849:  21%|██        | 84/400 [12:21<46:28,  8.82s/it]
Epoch 84 | KGC loss: 0.460174, DiffHEG loss 47.890901:  21%|██        | 84/400 [12:30<46:28,  8.82s/it]
Epoch 84 | KGC loss: 0.460174, DiffHEG loss 47.890901:  21%|██▏       | 85/400 [12:30<46:20,  8.83s/it]
Epoch 85 | KGC loss: 0.448740, DiffHEG loss 47.887013:  21%|██▏       | 85/400 [12:38<46:20,  8.83s/it]
Epoch 85 | KGC loss: 0.448740, DiffHEG loss 47.887013:  22%|██▏       | 86/400 [12:38<46:11,  8.82s/it]
Epoch 86 | KGC loss: 0.458024, DiffHEG loss 47.896906:  22%|██▏       | 86/400 [12:47<46:11,  8.82s/it]
Epoch 86 | KGC loss: 0.458024, DiffHEG loss 47.896906:  22%|██▏       | 87/400 [12:47<46:03,  8.83s/it]
Epoch 87 | KGC loss: 0.452006, DiffHEG loss 47.881418:  22%|██▏       | 87/400 [12:56<46:03,  8.83s/it]
