Epoch 72 | KGC loss: 1.732407, DiffHEG loss 81.394282:  18%|█▊        | 73/400 [20:01<1:29:25, 16.41s/it]
Epoch 73 | KGC loss: 1.774915, DiffHEG loss 81.405497:  18%|█▊        | 73/400 [20:17<1:29:25, 16.41s/it]
Epoch 73 | KGC loss: 1.774915, DiffHEG loss 81.405497:  18%|█▊        | 74/400 [20:17<1:29:10, 16.41s/it]
Epoch 74 | KGC loss: 1.730788, DiffHEG loss 81.409597:  18%|█▊        | 74/400 [20:34<1:29:10, 16.41s/it]
Epoch 74 | KGC loss: 1.730788, DiffHEG loss 81.409597:  19%|█▉        | 75/400 [20:34<1:28:57, 16.42s/it]
Epoch 75 | KGC loss: 1.767716, DiffHEG loss 81.407938:  19%|█▉        | 75/400 [20:50<1:28:57, 16.42s/it]
Epoch 75 | KGC loss: 1.767716, DiffHEG loss 81.407938:  19%|█▉        | 76/400 [20:50<1:28:38, 16.41s/it]
Epoch 76 | KGC loss: 1.734846, DiffHEG loss 81.398849:  19%|█▉        | 76/400 [21:07<1:28:38, 16.41s/it]
Epoch 76 | KGC loss: 1.734846, DiffHEG loss 81.398849:  19%|█▉        | 77/400 [21:07<1:28:19, 16.41s/it]
Epoch 77 | KGC loss: 1.790011, DiffHEG loss 81.401443:  19%|█▉        | 77/400 [21:23<1:28:19, 16.41s/it]
Epoch 77 | KGC loss: 1.790011, DiffHEG loss 81.401443:  20%|█▉        | 78/400 [21:23<1:28:02, 16.40s/it]
Epoch 78 | KGC loss: 1.758308, DiffHEG loss 81.414897:  20%|█▉        | 78/400 [21:39<1:28:02, 16.40s/it]
Epoch 78 | KGC loss: 1.758308, DiffHEG loss 81.414897:  20%|█▉        | 79/400 [21:39<1:27:47, 16.41s/it]
Epoch 79 | KGC loss: 1.791375, DiffHEG loss 81.398242:  20%|█▉        | 79/400 [21:56<1:27:47, 16.41s/it]
Epoch 79 | KGC loss: 1.791375, DiffHEG loss 81.398242:  20%|██        | 80/400 [21:56<1:27:29, 16.41s/it]
Epoch 80 | KGC loss: 1.737143, DiffHEG loss 81.407793:  20%|██        | 80/400 [22:12<1:27:29, 16.41s/it]
Epoch 80 | KGC loss: 1.737143, DiffHEG loss 81.407793:  20%|██        | 81/400 [22:12<1:27:15, 16.41s/it]
